Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
7204526,Der Goldene Topf,E.T.A. Hoffmann,"Hoffmann, E.T.A.",,"=""140992825X""","=""9781409928256""",3,3.33,Dodo Pr,Paperback,94,2008,1814,2020/01/01,2020/09/15,,,read,,,,1,0
43708278,Willhelm Tell,Friedrich Schiller,"Schiller, Friedrich",,"=""3126667813""","=""9783126667814""",3,3.21,"Klett (Ernst) Verlag,Stuttgart",Paperback,0,2015,1804,2020/01/01,2020/09/15,,,read,,,,1,0
1097229,Nathan der Weise,Gotthold Ephraim Lessing,"Lessing, Gotthold Ephraim",Peter von Düffel,"=""""","=""""",4,3.31,Stuttgart: Philipp Reclam jun. Verlag GmbH,Paperback,160,1993,1779,2020/01/01,2020/09/15,,,read,,,,1,0
1210286,Jugend ohne Gott,Ödön von Horváth,"Horváth, Ödön von",,"=""3518388746""","=""9783518388747""",0,3.85,Suhrkamp,Paperback,183,1994,1937,2020/01/01,2020/09/15,,,read,,,,1,0
680596,Der Sandmann,E.T.A. Hoffmann,"Hoffmann, E.T.A.",,"=""3458326340""","=""9783458326342""",4,3.56,Insel Verlag,Paperback,83,1986,1816,2020/03/02,2020/09/15,,,read,,,,1,0
44767458,"Dune (Dune, #1)",Frank Herbert,"Herbert, Frank",,"=""059309932X""","=""9780593099322""",0,4.29,Ace,Hardcover,658,2019,1965,,2020/09/15,to-read,to-read (#8),to-read,,,,0,0
1436901,Emilia Galotti,Gotthold Ephraim Lessing,"Lessing, Gotthold Ephraim",,"=""3150000459""","=""9783150000458""",3,2.92,Philipp Reclam jun.,Paperback,93,1986,1772,,2020/09/15,,,read,,,,1,0
18740973,Der Gang vor die Hunde,Erich Kästner,"Kästner, Erich",,"=""""","=""9783037920435""",3,4.15,Atrium Verlag AG Zürich,Kindle Edition,323,2013,2013,,2020/09/15,,,read,,,,1,0
485894,The Metamorphosis,Franz Kafka,"Kafka, Franz",Stanley Corngold,"=""0553213695""","=""9780553213690""",4,3.91,Bantam Classics,Mass Market Paperback,201,1972,1915,,2020/04/07,,,read,,,,1,0
24583,The Adventures of Tom Sawyer,Mark Twain,"Twain, Mark","Guy Cardwell, John Seelye, Mark Hallaq, Amanda Lee","=""""","=""9780143039563""",0,3.92,Penguin Classics,Paperback,244,2006,1876,,2020/09/03,,,read,,,,1,0
2165,The Old Man and the Sea,Ernest Hemingway,"Hemingway, Ernest",,"=""0684830493""","=""9780684830490""",0,3.81,Scribner,Hardcover,96,1996,1952,,2020/06/29,to-read,to-read (#5),to-read,,,,0,0
2657,To Kill a Mockingbird,Harper Lee,"Lee, Harper",,"=""0060935464""","=""9780060935467""",0,4.26,Harper Perennial Modern Classics ,Paperback,323,2006,1960,,2020/06/09,to-read,to-read (#4),to-read,,,,0,0
375802,"Ender’s Game (Ender's Saga, #1)",Orson Scott Card,"Card, Orson Scott",,"=""0812550706""","=""9780812550702""",5,4.31,Tor,Mass Market Paperback,324,2004,1985,,2020/06/09,,,read,,,,1,0
15645,Inferno,Dante Alighieri,"Alighieri, Dante",Anthony Esolen,"=""0812970063""","=""9780812970067""",5,4.03,Modern Library,Kindle Edition,490,2022,1321,2020/01/01,2020/06/09,,,read,,,,1,0
17250,The Crucible,Arthur Miller,"Miller, Arthur",Christopher W.E. Bigsby,"=""0142437336""","=""9780142437339""",4,3.61,Penguin Books,Paperback,143,2003,1953,,2020/06/09,,,read,,,,1,0
8852,Macbeth,William Shakespeare,"Shakespeare, William","Folger Shakespeare Library, Barbara A. Mowat, Paul Werstine","=""0743477103""","=""9780743477109""",4,3.89,Simon & Schuster,Mass Market Paperback,249,2013,1623,,2020/06/09,,,read,,,,1,0
